Name,Categories,Added,Last Played,Recent Activity,Completion Status,Platforms,Play Count,Time Played
2XKO,Fighting,10/28/2025 0:12,10/28/2025 18:08,10/28/2025 18:08,Played,PC (Windows),4,7323
Back 4 Blood,Survival,11/30/2024 0:00,12/5/2024 0:00,12/5/2024 0:00,Played,PC (Windows),6,32640
Battlefield V,Shooter,2/6/2026 19:14,8/14/2025 0:00,2/6/2026 19:14,Played,PC (Windows),2,7380
Century: Age of Ashes,Shooter,5/17/2024 0:00,5/17/2024 0:00,5/17/2024 0:00,Played,PC (Windows),1,4200
Cities: Skylines,Simulation,6/15/2023 0:00,6/19/2023 0:00,6/19/2023 0:00,Played,PC (Windows),7,12060
Control,Action,5/17/2023 0:00,5/21/2023 0:00,5/21/2023 0:00,Played,PC (Windows),19,22620
Counter-Strike 2,Shooter,10/19/2025 0:00,10/20/2025 0:00,10/20/2025 0:00,Played,PC (Windows),3,29100
Dead By DayLight,Survival,12/4/2021 0:00,2/5/2026 23:59,2/5/2026 23:59,Played,PC (Windows),70,143760
Dead Island 2,Survival,12/24/2025 22:27,12/31/2025 21:34,12/31/2025 21:34,Played,PC (Windows),8,48840
Donkey Kong Country Returns HD,Arcade,11/6/2025 1:56,11/12/2025 23:21,11/12/2025 23:21,Played,Nintendo Switch,3,1480
Dying Light,Survival,2/6/2022 0:00,2/16/2022 0:00,2/16/2022 0:00,Played,PC (Windows),10,39240
Enlisted,Shooter,9/15/2025 2:42,9/15/2025 2:50,9/15/2025 2:50,Played,PC (Windows),2,17640
Farlight 84,Shooter,2/17/2025 0:00,2/19/2025 0:00,2/19/2025 0:00,Played,PC (Windows),3,11880
Farming Simulator 22,Simulation,2/6/2026 2:39,4/22/2025 0:00,2/6/2026 2:39,Played,PC (Windows),1,4800
Flash Party,Fighting,2/18/2023 0:00,2/20/2023 0:00,2/20/2023 0:00,Played,PC (Windows),5,6120
Fortnite,Shooter,4/14/2024 0:00,6/16/2024 0:00,6/16/2024 0:00,Played,PC (Windows),13,17160
Foundation,Simulation,10/24/2025 23:49,10/24/2025 23:51,10/24/2025 23:51,Played,PC (Windows),1,547
Fruit Ninja,Arcade,10/25/2025 22:35,11/24/2025 17:43,11/24/2025 17:43,Played,PC (Windows),7,824
GigaBash,Fighting,12/13/2023 0:00,12/31/2025 20:40,12/31/2025 20:40,Played,PC (Windows),9,13320
God of War,Action,12/8/2025 21:57,12/8/2025 22:01,12/8/2025 22:01,Played,Sony PlayStation 3,1,3638
God of War,Action,9/16/2025 0:58,9/20/2025 21:58,9/20/2025 21:58,Played,Sony PlayStation 4,11,67054
God of War Ragnarok,Action,9/16/2025 1:14,12/6/2025 22:21,12/6/2025 22:21,Played,Sony PlayStation 5,51,148310
Godzilla,Action,9/16/2025 0:34,11/7/2025 21:25,11/7/2025 21:25,Played,Sony PlayStation 3,4,2530
Grand Theft Auto V,Action,12/26/2023 0:00,12/16/2025 17:30,12/16/2025 17:30,Played,PC (Windows),497,895680
Hogwarts Legacy,Action,12/14/2025 0:11,12/14/2025 0:13,12/14/2025 0:13,Played,PC (Windows),1,10080
Injustice 2,Fighting,10/20/2023 0:00,10/27/2023 0:00,10/27/2023 0:00,Played,Sony PlayStation 4,4,25320
Jurassic World Evolution 2,Simulation,12/15/2021 0:00,12/10/2025 20:55,12/10/2025 20:55,Played,PC (Windows),585,2054100
Jurassic World Evolution 3,Simulation,12/21/2025 20:12,2/5/2026 3:45,2/5/2026 3:45,Played,PC (Windows),165,283680
Kong: Survivor Instinct,Action,10/25/2025 21:44,10/25/2025 22:50,10/25/2025 22:50,Played,PC (Windows),1,5643
Left 4 Dead 2,Survival,5/25/2025 0:00,7/7/2025 0:00,7/7/2025 0:00,Played,PC (Windows),20,64980
LEGO Jurassic World,Arcade,10/23/2025 2:31,10/23/2025 21:16,10/23/2025 21:16,Played,PC (Windows),5,8615
Maneater,Action,3/16/2023 0:00,3/20/2023 0:00,3/20/2023 0:00,Played,PC (Windows),5,7260
Mario Kart 8 Deluxe,Arcade,11/6/2025 2:52,2/6/2026 2:57,2/6/2026 2:57,Played,Nintendo Switch,12,17377
Marvel Rivals,Shooter,9/16/2025 1:07,9/20/2025 20:33,9/20/2025 20:33,Played,PC (Windows),7,32040
